symbol;company;sector;industry;pe_ratio
DUK;Duke Energy;Utilities;Electric Utilities;21,7675670
DRE;Duke Realty Corp;Real Estate;Industrial REITs;32,3630830
DD;DuPont de Nemours Inc;Materials;Specialty Chemicals;17,6203960
DXC;DXC Technology;Information Technology;IT Consulting & Other Services;12,1680820
ETFC;E*Trade;Financials;Investment Banking & Brokerage;11,3059420
EMN;Eastman Chemical;Materials;Diversified Chemicals;10,8068630
ETN;Eaton Corporation;Industrials;Electrical Components & Equipment;16,5020800
EBAY;eBay Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;14,6167880
ECL;Ecolab Inc.;Materials;Specialty Chemicals;37,5425720
EIX;Edison Int'l;Utilities;Electric Utilities;NA
EW;Edwards Lifesciences;Health Care;Health Care Equipment;53,7048340
EA;Electronic Arts;Communication Services;Interactive Home Entertainment;28,6276280
EMR;Emerson Electric Company;Industrials;Electrical Components & Equipment;17,8487900
ETR;Entergy Corp.;Utilities;Electric Utilities;19,9923300
EOG;EOG Resources;Energy;Oil & Gas Exploration & Production;15,6825130
EFX;Equifax Inc.;Industrials;Research & Consulting Services;NA
EQIX;Equinix;Real Estate;Specialized REITs;97,5220700
EQR;Equity Residential;Real Estate;Residential REITs;52,7943150
ESS;Essex Property Trust, Inc.;Real Estate;Residential REITs;47,3976940
EL;Estee Lauder Cos.;Consumer Staples;Personal Products;37,1460760
EVRG;Evergy;Utilities;Electric Utilities;25,7852630
ES;Eversource Energy;Utilities;Multi-Utilities;22,9673600
RE;Everest Re Group Ltd.;Financials;Reinsurance;42,2122840
EXC;Exelon Corp.;Utilities;Multi-Utilities;20,9912550
EXPE;Expedia Group;Consumer Discretionary;Internet & Direct Marketing Retail;44,9156600
EXPD;Expeditors;Industrials;Air Freight & Logistics;21,4054500
EXR;Extra Space Storage;Real Estate;Specialized REITs;32,5105630
XOM;Exxon Mobil Corp.;Energy;Integrated Oil & Gas;17,9009200
FFIV;F5 Networks;Information Technology;Communications Equipment;17,4514310
FB;Facebook, Inc.;Communication Services;Interactive Media & Services;28,3674680
FAST;Fastenal Co;Industrials;Building Products;24,2379170
FRT;Federal Realty Investment Trust;Real Estate;Retail REITs;42,4825400
FDX;FedEx Corporation;Industrials;Air Freight & Logistics;12,1697220
FIS;Fidelity National Information Services;Information Technology;Internet Software & Services;49,8172950
FITB;Fifth Third Bancorp;Financials;Regional Banks;8,5260200
FE;FirstEnergy Corp;Utilities;Electric Utilities;266,3414600
FRC;First Republic Bank;Financials;Regional Banks;19,3178140
FISV;Fiserv Inc;Information Technology;Internet Software & Services;37,7392730
FLT;FleetCor Technologies Inc;Information Technology;Data Processing & Outsources Services;31,4561000
FLIR;FLIR Systems;Information Technology;Electronic Equipment & Instruments;24,5604380
FLS;Flowserve Corporation;Industrials;Industrial Machinery;41,0243870
FMC;FMC Corporation;Materials;Fertilizers & Agricultural Chemicals;24,7305400
FL;Foot Locker Inc;Consumer Discretionary;Apparel Retail;8,8301650
F;Ford Motor;Consumer Discretionary;Automobile Manufacturers;12,8571420
FTNT;Fortinet;Information Technology;Systems Software;37,9511450
FTV;Fortive Corp;Industrials;Industrial Machinery;10,1017460
FBHS;Fortune Brands Home & Security;Industrials;Building Products;19,7914430
FOXA;Fox Corporation Class A;Communication Services;Movies & Entertainment;13,9260970
FOX;Fox Corporation Class B;Communication Services;Movies & Entertainment;13,8106240
BEN;Franklin Resources;Financials;Asset Management & Custody Banks;11,5053770
FCX;Freeport-McMoRan Inc.;Materials;Copper;8,5391570
GPS;Gap Inc.;Consumer Discretionary;Apparel Retail;6,5657654
GRMN;Garmin Ltd.;Consumer Discretionary;Consumer Electronics;21,8365140
IT;Gartner Inc;Information Technology;IT Consulting & Other Services;90,9690200
GD;General Dynamics;Industrials;Aerospace & Defense;15,9947700
GE;General Electric;Industrials;Industrial Conglomerates;NA
GIS;General Mills;Consumer Staples;Packaged Foods & Meats;21,0367760
GM;General Motors;Consumer Discretionary;Automobile Manufacturers;5,8705673
GPC;Genuine Parts;Consumer Discretionary;Specialty Stores;19,2877030
GILD;Gilead Sciences;Health Care;Biotechnology;15,3089130
GPN;Global Payments Inc.;Information Technology;Data Processing & Outsourced Services;54,0221400
GS;Goldman Sachs Group;Financials;Investment Banking & Brokerage;8,1566900
GWW;Grainger (W.W.) Inc.;Industrials;Industrial Machinery;19,3914090
HAL;Halliburton Co.;Energy;Oil & Gas Equipment & Services;11,3518890
HBI;Hanesbrands Inc;Consumer Discretionary;Apparel, Accessories & Luxury Goods;11,5997370
HOG;Harley-Davidson;Consumer Discretionary;Motorcycle Manufacturers;12,4077210
HRS;Harris Corporation;Industrials;Aerospace & Defense;26,1011100
HIG;Hartford Financial Svc.Gp.;Financials;Property & Casualty Insurance;11,1195370
HAS;Hasbro Inc.;Consumer Discretionary;Leisure Products;37,9448170
HCA;HCA Healthcare;Health Care;Health Care Facilities;12,2849210
HCP;HCP Inc.;Real Estate;Health Care REITs;14,3295355
HP;Helmerich & Payne;Energy;Oil & Gas Drilling;77,0889900
HSIC;Henry Schein;Health Care;Health Care Distributors;21,1245460
HSY;The Hershey Company;Consumer Staples;Packaged Foods & Meats;25,4983300
HES;Hess Corporation;Energy;Integrated Oil & Gas;NA
HPE;Hewlett Packard Enterprise;Information Technology;Technology Hardware, Storage & Peripherals;73,9603900
HLT;Hilton Worldwide Holdings Inc;Consumer Discretionary;Hotels, Resorts & Cruise Lines;37,8653000
HFC;HollyFrontier Corp;Energy;Oil & Gas Refining & Marketing;7,1600127
HOLX;Hologic;Health Care;Health Care Equipment;NA
HD;Home Depot;Consumer Discretionary;Home Improvement Retail;21,0823600
HON;Honeywell Int'l Inc.;Industrials;Industrial Conglomerates;19,3248330
HRL;Hormel Foods Corp.;Consumer Staples;Packaged Foods & Meats;22,7527470
HST;Host Hotels & Resorts;Real Estate;Hotel & Resort REITs;13,1857770
HPQ;HP Inc.;Information Technology;Technology Hardware, Storage & Peripherals;8,3704000
HUM;Humana Inc.;Health Care;Managed Health Care;21,1564350
HBAN;Huntington Bancshares;Financials;Regional Banks;10,7500000
HII;Huntington Ingalls Industries;Industrials;Aerospace & Defense;11,9967710
IDXX;IDEXX Laboratories;Health Care;Health Care Equipment;61,9751100
INFO;IHS Markit Ltd.;Industrials;Research & Consulting Services;59,5228600
ITW;Illinois Tool Works;Industrials;Industrial Machinery;20,2276650
ILMN;Illumina Inc;Health Care;Life Sciences Tools & Services;63,2097930
IR;Ingersoll-Rand PLC;Industrials;Industrial Machinery;21,9348070
INTC;Intel Corp.;Information Technology;Semiconductors;10,7133190
ICE;Intercontinental Exchange;Financials;Financial Exchanges & Data;24,8553410
IBM;International Business Machines;Information Technology;IT Consulting & Other Services;14,6480055
INCY;Incyte;Health Care;Biotechnology;76,3339100
IP;International Paper;Materials;Paper Packaging;10,4932620
IPG;Interpublic Group;Communication Services;Advertising;13,9527660
IFF;Intl Flavors & Fragrances;Materials;Specialty Chemicals;44,9044380
INTU;Intuit Inc.;Information Technology;Internet Software & Services;47,7469400
ISRG;Intuitive Surgical Inc.;Health Care;Health Care Equipment;54,8569340
IVZ;Invesco Ltd.;Financials;Asset Management & Custody Banks;10,4943930
IPGP;IPG Photonics Corp.;Information Technology;Electronic Manufacturing Services;22,6154060
IQV;IQVIA Holdings Inc.;Health Care;Life Sciences Tools & Services;131,1322300
IRM;Iron Mountain Incorporated;Real Estate;Specialized REITs;26,5617240
JKHY;Jack Henry & Associates;Information Technology;Data Processing & Outsourced Services;36,7219240
JEC;Jacobs Engineering Group;Industrials;Construction & Engineering;40,2887900
JBHT;J. B. Hunt Transport Services;Industrials;Trucking;19,9797760
JEF;Jefferies Financial Group;Financials;Multi-Sector Holdings;5,8657810
SJM;JM Smucker;Consumer Staples;Packaged Foods & Meats;26,8849540
JNJ;Johnson & Johnson;Health Care;Pharmaceuticals;26,3324680
JCI;Johnson Controls International;Industrials;Building Products;15,6723995
JPM;JPMorgan Chase & Co.;Financials;Diversified Banks;11,8070990
JNPR;Juniper Networks;Information Technology;Communications Equipment;16,7877270
KSU;Kansas City Southern;Industrials;Railroads;20,7609440
K;Kellogg Co.;Consumer Staples;Packaged Foods & Meats;16,4467450
KEY;KeyCorp;Financials;Regional Banks;9,9824350
