"hours_studied","attendance","extracurricular_activities","sleep_hours","tutoring_sessions","exam_score"
23,68,"Yes",9,0,64
14,62,"No",4,1,62
20,95,"Yes",7,3,69
20,63,"Yes",8,3,64
13,70,"No",10,1,61
29,88,"No",7,2,72
25,76,"Yes",6,1,66
19,95,"No",10,2,69
20,72,"No",8,2,65
21,60,"Yes",9,2,64
8,72,"Yes",5,3,62
19,83,"No",8,1,66
16,75,"Yes",5,0,62
14,81,"Yes",5,3,66
18,95,"No",8,2,70
31,96,"Yes",8,3,75
24,71,"Yes",6,3,67
17,78,"Yes",9,4,66
23,82,"No",6,2,71
28,98,"Yes",7,2,75
26,100,"No",7,1,72
20,69,"No",7,2,64
16,89,"Yes",9,1,65
24,75,"No",5,1,67
22,60,"No",6,2,63
25,60,"Yes",5,1,62
24,78,"Yes",10,2,69
26,80,"Yes",7,1,70
17,61,"Yes",6,0,63
28,87,"Yes",7,2,71
21,72,"Yes",8,0,63
32,82,"Yes",8,0,71
16,72,"Yes",6,0,63
30,67,"Yes",6,0,68
21,76,"Yes",5,0,65
16,69,"Yes",7,0,66
17,81,"Yes",9,3,66
18,68,"No",6,0,66
23,80,"Yes",8,0,65
23,66,"No",6,0,66
17,87,"Yes",5,4,67
20,90,"No",8,0,68
33,64,"Yes",10,2,68
30,79,"No",8,3,69
23,63,"Yes",6,1,64
20,84,"No",6,0,67
21,71,"Yes",10,1,63
24,81,"Yes",7,3,67
14,81,"Yes",6,2,64
18,97,"No",7,0,66
10,82,"No",7,2,65
22,83,"Yes",8,4,68
24,76,"No",9,0,66
17,98,"No",9,0,71
29,91,"Yes",7,2,74
13,71,"No",7,2,65
11,94,"Yes",8,0,68
21,77,"Yes",6,2,68
26,93,"No",8,1,72
30,93,"Yes",7,3,74
17,68,"No",8,0,61
26,88,"No",10,0,65
20,72,"No",8,0,63
19,72,"Yes",7,1,66
25,72,"Yes",6,2,66
24,89,"Yes",7,2,73
11,69,"No",5,0,63
29,60,"Yes",8,0,68
28,89,"Yes",4,3,73
16,67,"Yes",8,0,63
22,64,"Yes",8,2,65
23,70,"Yes",7,0,66
22,75,"Yes",6,0,65
17,79,"Yes",7,0,66
16,62,"No",4,3,65
20,99,"No",8,2,70
27,89,"No",7,1,70
23,73,"Yes",9,0,68
18,73,"No",8,1,64
25,78,"No",7,1,68
3,85,"No",8,2,62
27,66,"Yes",6,1,68
10,68,"No",6,1,61
18,94,"Yes",7,1,69
13,70,"Yes",7,3,65
12,75,"Yes",6,2,65
27,95,"No",7,3,72
17,87,"Yes",7,3,70
22,74,"Yes",10,1,65
20,87,"No",7,3,69
23,61,"Yes",6,1,65
20,89,"Yes",7,3,69
12,79,"Yes",9,2,65
26,93,"Yes",9,0,72
17,98,"Yes",10,0,70
11,97,"Yes",7,0,64
17,96,"No",8,0,67
29,80,"No",5,0,69
25,74,"Yes",6,4,70
18,79,"Yes",5,1,65
18,88,"Yes",8,1,69
18,95,"Yes",7,5,74
32,68,"Yes",7,1,66
22,97,"Yes",6,1,72
23,93,"Yes",8,0,67
26,99,"Yes",4,2,75
21,95,"Yes",7,3,70
18,71,"No",7,1,63
19,64,"No",4,2,65
20,64,"No",8,3,64
20,72,"No",7,2,65
24,85,"Yes",8,2,70
20,92,"No",10,0,67
24,96,"Yes",7,0,67
20,85,"No",8,1,68
20,60,"No",9,4,65
8,67,"Yes",8,2,61
25,64,"Yes",6,2,63
22,75,"Yes",5,2,80
26,80,"Yes",8,2,69
3,62,"No",6,1,55
33,74,"No",9,2,70
19,67,"Yes",6,1,65
27,86,"Yes",7,1,68
14,79,"Yes",5,3,64
24,80,"No",6,1,69
14,77,"No",6,1,89
16,98,"Yes",6,1,67
31,69,"No",7,2,92
19,81,"No",6,1,67
21,89,"Yes",10,3,70
25,82,"No",8,1,68
23,97,"Yes",9,0,70
21,75,"Yes",7,3,67
22,79,"Yes",7,0,69
34,64,"No",6,0,67
20,84,"Yes",10,0,69
21,72,"No",7,0,63
26,66,"No",6,3,69
27,82,"No",6,1,66
27,81,"No",8,0,68
24,63,"Yes",9,4,69
13,88,"Yes",9,4,66
30,85,"Yes",6,1,72
13,68,"Yes",6,1,62
22,79,"No",9,1,67
15,89,"No",10,0,67
20,81,"Yes",7,1,67
22,76,"No",9,2,65
22,73,"No",5,1,67
23,84,"No",6,3,66
30,98,"Yes",5,0,70
23,87,"No",8,2,71
19,63,"Yes",7,2,64
26,78,"Yes",7,4,69
27,96,"Yes",9,0,72
13,64,"Yes",6,0,60
24,100,"Yes",7,1,71
24,98,"Yes",5,0,71
18,63,"No",9,2,66
28,97,"No",9,3,74
19,75,"No",8,0,64
21,94,"Yes",7,2,68
19,77,"No",6,4,66
20,78,"No",5,1,65
13,85,"Yes",7,0,64
11,91,"No",8,1,65
30,61,"No",10,4,69
15,84,"Yes",6,2,68
14,67,"No",7,1,62
7,74,"No",9,3,63
16,74,"No",9,0,65
12,79,"No",6,1,62
30,73,"No",7,0,67
26,64,"No",6,1,64
16,66,"No",6,2,61
34,61,"No",9,1,65
26,79,"No",7,1,67
18,98,"No",7,0,70
5,65,"Yes",7,1,59
34,98,"No",7,1,75
12,89,"Yes",7,4,67
10,85,"Yes",6,1,64
26,86,"Yes",9,3,72
35,93,"Yes",6,5,76
28,64,"Yes",6,2,69
23,80,"No",7,0,65
24,88,"No",10,2,72
25,83,"Yes",6,0,69
25,93,"No",8,0,71
22,63,"No",7,0,64
21,88,"Yes",7,2,74
20,81,"Yes",8,0,68
15,75,"Yes",4,1,66
18,74,"No",6,0,65
10,85,"Yes",8,2,67
19,96,"No",7,0,69
14,80,"Yes",7,2,66
13,93,"Yes",8,1,69
21,76,"Yes",6,2,67
28,64,"Yes",9,1,64
26,62,"No",8,2,67
11,62,"Yes",7,3,61
14,75,"Yes",8,0,61
26,73,"Yes",9,4,68
14,89,"No",6,2,66
19,90,"No",8,0,66
23,62,"No",10,2,68
14,69,"No",8,1,63
21,71,"Yes",7,3,66
12,82,"Yes",10,0,66
16,66,"Yes",7,0,66
22,65,"Yes",9,2,65
10,98,"Yes",6,2,69
23,92,"No",9,1,71
20,67,"No",6,1,66
23,76,"Yes",7,1,66
21,74,"Yes",6,0,65
28,92,"No",10,4,71
21,80,"No",7,3,69
17,65,"Yes",5,2,61
21,90,"Yes",7,1,70
23,76,"No",8,2,70
20,71,"No",7,0,65
20,75,"Yes",6,2,64
16,80,"Yes",9,0,68
16,74,"Yes",9,1,63
12,70,"No",5,2,63
30,76,"Yes",6,3,71
13,61,"No",7,1,58
16,91,"Yes",6,1,68
16,67,"No",8,1,65
25,62,"No",10,2,65
18,86,"Yes",6,2,68
27,91,"Yes",9,0,69
16,93,"Yes",5,5,71
22,80,"No",8,2,65
15,68,"Yes",6,0,64
33,89,"No",8,2,75
13,88,"No",4,1,67
22,70,"Yes",5,1,68
24,96,"No",8,1,72
22,64,"No",6,3,67
19,99,"No",7,1,72
19,94,"Yes",10,1,69
20,88,"No",7,0,68
19,98,"Yes",8,0,70
26,89,"No",6,1,69
33,68,"Yes",5,2,67
17,78,"No",7,0,63
12,63,"No",5,4,61
19,76,"Yes",6,1,66
35,90,"Yes",7,0,73
15,75,"Yes",7,0,67
30,73,"Yes",8,2,72
30,84,"No",8,1,69
17,95,"No",5,2,69
23,62,"Yes",6,1,63
30,75,"Yes",4,0,67
18,66,"No",6,0,63
19,88,"Yes",8,1,66
17,64,"No",9,2,62
14,87,"Yes",7,2,68
16,71,"No",9,1,65
13,68,"Yes",8,0,59
20,97,"Yes",7,1,72
15,61,"Yes",6,0,63
21,78,"No",4,1,68
11,61,"Yes",9,0,61
22,79,"No",7,1,65
25,80,"Yes",9,2,68
8,73,"Yes",6,1,61
22,65,"Yes",10,1,63
27,75,"Yes",7,1,67
13,87,"Yes",6,0,66
30,91,"Yes",7,3,75
23,81,"No",7,0,68
16,84,"No",7,2,65
20,68,"No",6,0,64
23,71,"Yes",4,2,67
20,66,"Yes",6,2,64
23,70,"Yes",9,0,67
14,69,"Yes",6,2,63
21,81,"Yes",4,0,67
12,83,"Yes",5,1,65
19,98,"Yes",7,1,70
15,68,"Yes",6,2,62
16,86,"Yes",7,2,69
27,93,"Yes",6,2,70
27,82,"Yes",9,1,68
24,70,"No",8,4,68
13,71,"Yes",10,0,64
18,62,"Yes",6,4,63
27,72,"Yes",7,2,68
21,90,"Yes",9,1,67
34,62,"No",8,3,68
22,69,"Yes",6,1,66
21,88,"Yes",8,2,67
18,91,"No",8,1,69
21,78,"Yes",4,2,68
19,88,"No",6,4,70
24,76,"No",7,3,68
26,66,"Yes",9,2,66
15,76,"Yes",8,2,67
12,83,"No",6,1,65
9,98,"No",6,0,67
23,63,"No",8,2,63
13,80,"Yes",4,2,64
7,73,"Yes",6,3,64
22,80,"No",9,0,66
35,61,"Yes",7,2,68
20,73,"Yes",6,0,67
25,93,"No",5,1,72
20,82,"Yes",8,1,67
19,78,"No",7,2,66
26,71,"No",7,1,66
18,72,"Yes",8,1,67
22,75,"No",7,0,65
22,93,"No",7,2,70
16,99,"Yes",5,0,69
26,78,"Yes",5,1,69
19,76,"Yes",8,1,66
15,94,"No",8,2,66
23,77,"Yes",8,1,67
15,82,"Yes",6,1,67
20,69,"Yes",8,2,67
20,90,"Yes",6,2,72
27,81,"Yes",9,1,68
23,92,"Yes",6,3,70
20,91,"Yes",6,1,69
25,69,"Yes",7,1,65
28,89,"No",8,0,72
23,92,"No",7,0,69
20,74,"Yes",7,5,68
12,67,"No",6,1,62
14,60,"Yes",7,2,60
18,78,"Yes",7,3,67
16,74,"Yes",6,2,67
19,82,"Yes",7,1,67
20,68,"Yes",7,0,63
23,94,"Yes",10,1,71
20,70,"Yes",6,0,66
23,69,"Yes",6,0,65
20,79,"Yes",7,2,69
8,80,"No",6,2,63
14,69,"Yes",5,3,64
19,71,"No",5,2,67
13,67,"Yes",6,1,62
24,89,"Yes",6,2,68
29,91,"No",5,2,71
27,78,"No",7,1,66
19,89,"Yes",4,1,69
29,89,"Yes",8,1,71
21,66,"Yes",6,2,66
18,99,"No",6,5,72
16,93,"Yes",8,1,70
18,68,"No",8,1,65
18,67,"No",6,0,64
21,65,"Yes",8,1,63
21,66,"No",9,3,63
20,90,"No",5,3,66
23,79,"Yes",8,1,68
27,91,"Yes",5,1,74
26,90,"No",9,0,71
11,84,"Yes",6,3,67
5,87,"No",6,2,66
26,61,"Yes",9,0,67
12,72,"Yes",8,3,62
19,86,"No",6,1,68
13,60,"Yes",7,2,62
9,61,"Yes",6,1,82
23,94,"No",5,2,70
25,87,"No",7,4,72
17,71,"Yes",6,0,64
4,88,"No",6,1,66
17,92,"Yes",9,0,68
22,72,"No",6,1,64
11,61,"Yes",7,0,61
21,97,"Yes",9,0,69
20,74,"No",7,2,68
23,64,"No",6,1,64
21,80,"No",7,1,67
14,91,"Yes",8,0,67
27,69,"No",8,1,65
19,71,"Yes",10,2,68
20,70,"Yes",6,2,67
14,100,"No",7,1,67
17,68,"Yes",5,1,64
15,83,"Yes",8,0,70
19,97,"No",7,2,69
30,66,"No",7,0,66
12,99,"No",6,2,69
10,98,"Yes",6,1,66
29,95,"Yes",7,1,73
19,69,"Yes",6,4,66
16,85,"Yes",7,0,69
26,90,"Yes",7,1,70
16,99,"Yes",5,1,71
31,67,"Yes",5,2,70
24,91,"Yes",6,0,69
17,74,"No",9,1,63
33,67,"Yes",6,4,71
16,77,"No",7,2,67
24,92,"Yes",5,3,73
22,79,"Yes",6,1,68
28,82,"Yes",5,0,69
29,100,"Yes",8,2,76
20,76,"Yes",5,4,68
15,85,"No",8,1,65
23,75,"Yes",8,0,66
16,76,"No",7,0,65
32,88,"No",8,3,69
21,98,"Yes",10,0,71
18,82,"Yes",8,1,66
21,91,"No",5,3,69
12,64,"No",9,2,59
14,68,"No",7,2,65
27,80,"No",10,4,72
16,61,"Yes",6,0,60
14,70,"Yes",9,0,64
23,81,"No",7,1,69
27,61,"Yes",10,3,70
24,71,"Yes",7,2,67
26,81,"No",10,0,67
15,83,"Yes",8,0,64
11,97,"Yes",8,4,68
29,86,"No",10,1,72
18,77,"Yes",6,1,65
18,97,"No",8,2,70
28,91,"No",7,2,75
23,68,"Yes",7,3,65
23,65,"Yes",7,1,63
33,87,"No",8,0,71
16,82,"Yes",8,2,66
26,92,"Yes",6,1,69
20,90,"No",7,0,68
22,85,"No",4,1,71
29,99,"Yes",8,5,77
23,81,"Yes",10,1,70
23,65,"No",7,1,66
26,93,"No",5,1,73
18,70,"Yes",8,1,62
15,91,"No",6,0,65
14,98,"Yes",7,0,71
8,88,"Yes",8,1,66
32,84,"Yes",8,1,72
13,78,"Yes",9,0,64
19,75,"No",7,0,63
18,74,"Yes",7,0,63
22,85,"No",8,5,72
25,90,"Yes",7,2,71
25,87,"Yes",6,3,72
17,68,"Yes",8,1,65
19,80,"Yes",5,0,67
22,92,"Yes",7,1,68
19,79,"Yes",5,2,66
30,81,"No",6,0,72
23,91,"No",6,3,71
24,86,"No",6,3,70
24,76,"No",9,1,68
27,96,"No",9,0,72
21,67,"Yes",9,1,66
12,100,"No",7,1,69
22,65,"Yes",6,2,65
16,61,"No",8,1,62
17,96,"No",7,1,69
24,70,"Yes",7,1,65
27,89,"No",4,2,69
20,92,"Yes",8,1,69
22,94,"Yes",8,2,73
30,100,"Yes",7,2,75
21,72,"Yes",8,3,70
36,88,"No",8,0,74
23,65,"Yes",6,0,65
9,76,"No",7,1,63
25,94,"No",5,4,74
22,75,"Yes",9,0,67
28,84,"Yes",8,3,71
24,80,"Yes",6,1,68
19,86,"No",8,2,69
13,99,"No",7,0,71
19,62,"Yes",6,7,66
15,83,"Yes",7,0,65
17,95,"Yes",8,1,66
24,79,"Yes",8,2,65
30,63,"No",10,1,67
22,82,"No",7,2,70
13,73,"Yes",7,1,63
23,66,"No",8,1,64
27,94,"Yes",7,1,71
16,81,"Yes",6,2,68
19,97,"No",6,2,72
20,92,"Yes",4,2,71
15,88,"Yes",8,1,64
24,60,"Yes",5,1,64
19,77,"Yes",6,3,66
23,68,"Yes",7,3,68
15,96,"No",7,2,68
17,67,"Yes",10,3,65
24,71,"Yes",5,1,67
18,81,"Yes",10,3,64
30,71,"Yes",9,1,70
18,68,"Yes",8,1,65
21,84,"No",9,2,65
26,64,"No",8,1,68
11,62,"Yes",4,2,61
9,75,"No",8,3,63
11,89,"Yes",5,0,65
28,82,"Yes",6,1,69
17,77,"No",7,1,64
35,83,"No",6,1,69
17,75,"Yes",8,3,67
21,97,"Yes",7,1,74
29,62,"Yes",8,1,66
32,87,"Yes",7,0,72
32,96,"Yes",7,1,73
27,92,"No",6,0,73
26,67,"Yes",5,0,63
24,72,"Yes",7,3,69
25,89,"Yes",6,2,71
17,63,"No",9,1,63
15,92,"Yes",5,0,69
20,89,"Yes",10,3,72
19,89,"Yes",7,2,68
17,64,"No",7,1,62
24,89,"Yes",6,1,68
26,87,"Yes",8,1,71
21,93,"Yes",7,1,67
29,62,"Yes",7,0,65
13,61,"Yes",8,1,60
19,75,"Yes",8,2,68
16,66,"Yes",9,1,59
9,82,"No",8,0,64
20,97,"Yes",6,2,71
19,76,"No",4,2,68
29,94,"Yes",7,2,70
24,60,"No",7,1,62
14,67,"No",10,2,62
31,61,"No",7,2,68
27,73,"No",8,3,68
23,96,"Yes",8,3,74
19,64,"No",8,0,61
14,84,"Yes",8,1,67
18,78,"No",6,1,65
27,98,"Yes",6,5,101
31,65,"Yes",7,1,65
29,68,"No",4,0,67
17,61,"Yes",7,2,61
13,77,"No",6,3,64
21,71,"No",7,1,64
9,95,"Yes",7,1,67
22,84,"Yes",5,0,69
19,85,"Yes",9,1,69
17,81,"No",7,4,67
10,64,"No",8,1,62
23,78,"No",7,0,66
17,100,"No",8,0,72
13,93,"Yes",5,2,67
3,96,"Yes",9,2,66
20,93,"Yes",8,2,67
31,64,"Yes",7,1,67
30,69,"Yes",7,0,68
17,60,"Yes",9,0,63
16,72,"No",6,1,62
23,64,"Yes",5,3,65
14,79,"Yes",6,1,65
22,87,"Yes",7,0,70
25,95,"No",7,7,73
27,90,"Yes",9,1,73
19,98,"Yes",6,2,68
19,62,"No",6,3,63
15,60,"Yes",5,2,62
15,86,"Yes",8,0,69
19,72,"No",5,2,66
22,70,"Yes",8,0,68
25,73,"Yes",6,0,67
15,71,"Yes",6,2,65
29,80,"Yes",10,1,70
18,78,"Yes",9,0,64
20,80,"Yes",7,2,65
16,87,"No",5,1,67
5,75,"Yes",10,0,62
25,70,"Yes",7,3,66
24,67,"Yes",7,0,68
18,74,"No",8,0,64
20,90,"No",4,3,69
23,90,"Yes",6,1,69
11,87,"Yes",7,1,67
17,69,"Yes",7,0,61
25,84,"Yes",5,1,70
12,83,"Yes",7,1,65
22,79,"Yes",7,0,66
12,82,"Yes",10,3,66
23,80,"Yes",9,4,69
20,83,"Yes",7,1,67
10,89,"Yes",7,2,71
27,64,"Yes",9,1,68
16,90,"No",7,2,67
15,65,"No",5,2,63
21,63,"No",10,1,64
27,99,"Yes",6,3,73
14,98,"Yes",10,1,69
20,62,"No",8,1,65
23,78,"Yes",6,0,70
24,67,"Yes",4,1,67
21,79,"Yes",8,3,67
18,93,"Yes",5,0,70
15,98,"No",8,2,69
21,85,"No",10,2,68
14,74,"No",5,1,66
2,84,"No",8,3,62
23,72,"Yes",6,2,67
25,96,"Yes",9,2,71
6,95,"Yes",7,4,68
14,82,"Yes",7,3,66
24,73,"Yes",9,0,64
32,72,"Yes",8,1,71
20,61,"Yes",6,1,61
16,93,"No",10,2,67
19,78,"Yes",5,3,65
28,73,"Yes",7,0,66
16,79,"Yes",6,2,68
15,93,"No",5,0,66
17,65,"No",5,2,63
14,94,"Yes",7,1,66
21,96,"No",8,1,73
30,98,"Yes",9,1,88
22,76,"No",9,0,67
18,69,"Yes",7,2,69
18,75,"Yes",6,2,67
11,73,"Yes",9,1,64
25,67,"Yes",6,0,64
20,84,"No",5,1,65
19,79,"No",8,1,68
39,95,"Yes",9,2,77
22,61,"Yes",6,0,63
15,86,"Yes",10,0,69
17,91,"Yes",8,3,69
27,90,"No",8,2,70
21,95,"Yes",6,1,73
11,89,"Yes",9,1,66
26,97,"No",5,2,71
16,73,"Yes",6,2,66
31,80,"Yes",6,2,71
26,61,"Yes",5,3,66
17,60,"Yes",8,0,63
28,70,"Yes",8,5,70
20,64,"Yes",8,1,66
25,70,"No",7,1,66
23,67,"No",8,2,66
15,61,"No",7,1,62
16,96,"No",6,1,69
26,60,"Yes",6,1,63
18,89,"Yes",4,1,68
18,66,"No",9,1,64
14,96,"Yes",9,2,69
23,96,"Yes",10,3,71
32,86,"Yes",6,2,71
14,87,"No",6,1,66
20,60,"Yes",4,2,63
28,99,"Yes",8,0,72
20,95,"Yes",8,1,70
23,96,"No",9,0,71
14,86,"Yes",6,3,65
23,74,"Yes",8,0,65
19,96,"No",6,1,67
26,72,"No",9,0,68
27,83,"Yes",8,3,70
36,64,"Yes",5,2,70
23,97,"Yes",7,2,72
22,66,"No",4,1,65
21,69,"Yes",5,2,65
18,82,"Yes",5,3,71
22,91,"Yes",6,3,74
18,85,"No",7,0,64
21,69,"No",7,1,64
28,60,"Yes",7,3,65
14,90,"Yes",7,1,67
27,99,"No",7,2,73
28,92,"No",5,1,72
19,78,"No",7,0,65
7,96,"No",9,0,67
16,76,"Yes",7,2,66
28,81,"Yes",8,0,70
20,79,"No",8,2,66
14,78,"Yes",8,1,66
17,91,"Yes",7,3,68
25,81,"Yes",8,3,68
23,73,"No",8,0,67
19,70,"Yes",8,1,65
18,62,"Yes",8,4,64
18,83,"No",5,1,70
14,69,"No",5,0,63
30,66,"No",6,2,65
18,86,"Yes",9,4,67
27,87,"Yes",7,3,71
29,90,"Yes",7,1,73
26,80,"No",4,1,67
17,96,"Yes",7,2,72
22,97,"No",7,2,71
20,92,"Yes",4,0,72
15,85,"Yes",7,1,68
22,72,"Yes",5,2,65
13,99,"No",6,1,68
27,71,"No",8,1,67
17,68,"No",7,1,66
21,78,"Yes",6,0,64
22,62,"No",6,3,65
18,99,"No",6,0,69
24,84,"Yes",7,2,68
17,82,"No",5,3,69
25,86,"Yes",9,1,70
12,80,"No",5,1,65
21,61,"No",4,2,63
32,84,"Yes",8,1,71
14,89,"Yes",6,0,68
16,77,"Yes",7,5,70
23,90,"Yes",8,2,72
21,69,"Yes",6,3,64
22,69,"No",7,0,64
23,66,"Yes",8,2,66
24,75,"Yes",9,0,69
27,94,"No",6,2,71
22,93,"Yes",6,0,69
19,75,"No",8,1,67
24,84,"Yes",7,0,66
31,89,"No",7,2,71
19,70,"Yes",9,2,63
14,67,"No",4,0,62
27,99,"No",5,0,73
19,85,"No",4,1,66
7,99,"Yes",9,3,72
25,74,"Yes",8,1,67
17,88,"No",5,0,65
19,69,"Yes",7,2,66
22,70,"Yes",7,3,68
21,80,"Yes",4,1,69
24,73,"Yes",7,0,68
17,67,"Yes",5,0,61
23,71,"Yes",8,3,68
18,61,"Yes",5,3,64
24,88,"Yes",7,1,67
24,80,"Yes",9,3,68
14,64,"No",8,1,61
27,67,"No",8,1,66
17,64,"Yes",7,2,64
25,85,"No",5,3,67
22,64,"No",6,2,64
31,90,"No",7,0,72
19,61,"No",7,2,62
18,70,"Yes",5,2,63
20,96,"No",8,1,70
18,89,"No",5,3,69
25,63,"Yes",9,3,64
10,93,"No",7,2,66
14,80,"Yes",8,3,67
14,94,"Yes",8,4,71
26,84,"Yes",10,0,70
30,87,"No",7,2,69
19,100,"No",6,0,68
19,69,"Yes",6,1,64
20,85,"Yes",9,3,70
27,78,"Yes",5,0,69
14,62,"Yes",6,0,63
21,61,"No",7,1,60
26,65,"No",7,2,65
23,86,"No",8,0,67
21,83,"No",5,1,66
26,82,"No",7,3,68
4,61,"Yes",7,0,58
24,79,"Yes",5,0,67
16,97,"Yes",8,0,68
9,76,"Yes",7,1,62
23,85,"No",7,2,69
28,91,"Yes",6,1,73
19,91,"No",6,2,66
26,81,"Yes",5,0,67
30,94,"No",8,1,71
28,76,"Yes",9,1,66
30,96,"Yes",10,0,74
24,70,"No",8,2,67
20,71,"No",6,2,68
10,62,"No",6,2,61
19,92,"No",8,2,69
15,77,"Yes",7,4,65
33,69,"Yes",7,2,71
19,69,"No",7,1,61
21,96,"Yes",9,0,70
23,93,"No",6,2,70
20,82,"Yes",9,1,69
30,85,"Yes",7,2,70
16,79,"Yes",6,4,67
21,76,"No",6,2,63
16,97,"No",7,1,70
12,65,"No",8,1,61
16,77,"Yes",6,1,64
20,74,"Yes",8,2,65
17,80,"No",6,1,65
16,78,"Yes",7,3,66
12,81,"Yes",5,1,66
20,66,"Yes",8,2,63
11,81,"Yes",7,3,66
25,70,"Yes",9,0,64
20,67,"No",8,3,65
11,63,"No",7,3,62
18,91,"Yes",9,4,71
15,77,"Yes",8,1,63
22,85,"No",9,0,70
28,89,"Yes",6,2,70
9,87,"No",8,1,65
21,79,"Yes",8,1,66
19,76,"Yes",5,2,66
24,75,"No",9,0,68
21,86,"No",5,1,68
15,80,"Yes",5,4,69
18,94,"Yes",4,3,71
15,95,"Yes",8,2,69
26,67,"Yes",5,0,68
20,65,"Yes",6,2,67
31,85,"No",8,2,72
20,72,"Yes",7,2,68
16,61,"Yes",6,0,60
11,96,"No",5,2,68
9,69,"Yes",7,1,65
10,97,"No",8,0,67
22,89,"No",8,4,70
23,91,"Yes",10,0,70
11,68,"No",6,3,61
25,69,"Yes",5,2,68
17,81,"No",7,1,67
21,67,"No",7,3,62
30,72,"No",7,0,66
25,73,"Yes",6,3,69
18,66,"Yes",4,2,66
15,68,"Yes",5,0,64
7,92,"No",8,1,66
16,67,"No",7,2,63
19,61,"Yes",8,1,62
14,85,"Yes",8,1,65
19,99,"No",8,0,68
20,73,"Yes",8,1,65
19,65,"Yes",7,1,63
16,83,"Yes",7,3,68
21,96,"Yes",4,2,72
23,91,"No",6,2,69
13,85,"No",6,1,66
28,73,"Yes",7,2,68
19,82,"No",6,1,64
20,64,"Yes",8,1,61
24,87,"No",6,0,67
21,89,"Yes",9,0,68
26,99,"No",6,2,74
22,70,"Yes",6,3,67
16,61,"Yes",6,2,64
22,82,"No",6,3,69
13,88,"Yes",9,0,63
21,92,"No",7,0,67
20,68,"Yes",7,1,65
19,70,"Yes",6,5,67
19,81,"No",7,1,68
9,73,"Yes",7,3,62
17,94,"Yes",7,1,70
21,79,"Yes",7,1,67
21,92,"Yes",9,2,89
14,83,"Yes",7,1,65
28,91,"Yes",5,2,69
15,73,"No",7,2,64
26,93,"No",6,6,74
23,71,"No",8,0,64
16,82,"No",7,0,64
31,69,"Yes",9,2,67
13,79,"Yes",6,2,63
26,73,"Yes",7,3,68
26,71,"Yes",5,0,66
16,99,"Yes",7,0,68
28,66,"No",5,1,68
18,91,"No",7,3,69
22,99,"No",7,3,71
22,61,"Yes",7,1,65
19,88,"Yes",8,2,67
25,70,"No",7,1,65
25,62,"No",5,0,65
10,76,"No",6,1,80
28,97,"Yes",7,2,74
10,60,"No",7,3,59
26,84,"No",7,2,69
27,80,"Yes",9,0,66
13,95,"Yes",7,1,66
18,63,"No",8,2,65
13,87,"Yes",4,3,67
19,87,"No",8,3,69
18,87,"Yes",10,2,68
25,98,"Yes",9,1,73
28,93,"Yes",6,1,71
28,62,"Yes",10,0,67
17,79,"Yes",7,1,67
19,76,"No",7,0,66
10,72,"No",7,3,63
15,78,"No",7,1,65
26,75,"Yes",4,2,67
30,77,"Yes",8,1,69
13,99,"Yes",7,1,67
16,64,"Yes",7,4,66
20,97,"Yes",7,2,74
22,79,"No",6,2,69
15,85,"Yes",7,0,66
23,93,"Yes",9,0,69
17,74,"Yes",8,1,63
20,77,"Yes",7,0,65
23,76,"No",7,1,64
20,75,"No",7,0,64
17,97,"Yes",6,2,69
19,93,"No",7,5,73
19,64,"Yes",8,1,62
18,64,"Yes",7,2,62
18,77,"Yes",6,0,68
30,64,"No",7,1,66
23,85,"Yes",8,2,68
18,66,"Yes",5,4,66
24,81,"Yes",6,3,69
18,60,"Yes",5,0,62
27,73,"No",7,2,68
22,87,"No",8,2,67
19,79,"No",9,1,65
23,99,"No",9,0,69
11,95,"No",6,2,67
13,74,"Yes",7,0,64
13,62,"Yes",6,3,62
21,94,"Yes",9,5,71
30,96,"Yes",9,0,72
33,93,"Yes",7,0,74
24,65,"No",6,1,66
23,100,"Yes",4,2,72
9,70,"No",5,1,65
17,89,"Yes",4,0,67
15,96,"Yes",5,2,70
16,69,"Yes",10,0,62
19,96,"Yes",5,0,66
17,72,"Yes",5,2,65
8,99,"Yes",6,2,70
24,71,"Yes",10,2,69
14,98,"Yes",7,3,70
21,62,"No",8,2,66
32,88,"Yes",7,1,73
14,81,"No",4,3,69
5,79,"Yes",9,3,66
18,69,"Yes",8,4,65
27,88,"No",7,2,70
32,68,"No",10,0,70
13,82,"No",6,2,67
23,70,"Yes",7,1,68
17,98,"Yes",6,1,68
19,61,"No",9,0,61
36,68,"Yes",8,2,70
11,70,"No",7,0,65
22,77,"Yes",5,3,66
23,69,"Yes",6,3,67
27,80,"Yes",5,3,69
21,95,"No",9,1,69
22,88,"Yes",5,1,67
18,83,"No",9,0,66
22,64,"Yes",9,1,63
18,88,"No",6,0,67
24,67,"Yes",6,0,64
18,91,"No",6,2,68
22,70,"Yes",8,2,65
20,77,"No",9,2,65
27,74,"Yes",9,1,65
20,94,"Yes",6,0,70
9,65,"Yes",9,1,62
28,83,"No",9,0,68
15,66,"Yes",7,0,62
16,88,"Yes",7,0,68
16,96,"Yes",9,0,72
28,77,"Yes",9,1,70
7,80,"No",9,3,62
39,97,"Yes",10,2,79
26,81,"Yes",8,2,73
21,80,"Yes",7,1,68
20,83,"Yes",9,0,68
22,88,"Yes",10,2,69
23,64,"Yes",6,1,63
